block_nr,trial_nr,set_nr,item_nr,word1,word2,probe,response,hit,
1,1,65,386,phony,church,,,,
1,2,13,639,zrtqgfplh,church,,,,
1,3,88,526,perfect,strife,,,,
1,4,62,372,rvqf,heaven,,,,
1,5,16,646,wvcnz,building,,,,
1,6,29,171,kmlsdjtw,dog,,,,
1,7,50,748,kmlsdjtw,house,,,,
1,8,44,262,important,virtue,Is it to be disregarded?,None,0,
1,9,96,571,old,missile,,,,
1,10,23,138,zrtqgfplh,rating,,,,
1,11,37,220,actual,outcome,,,,
1,12,86,858,zrtqgfplh,fork,,,,
1,13,27,681,zrtqgfplh,ointment,,,,
1,14,83,495,ptrgsbkv,children,,,,
1,15,42,252,htbqzylm,output,,,,
1,16,56,331,typical,doctor,,,,
1,17,35,209,fake,fiction,,,,
1,18,89,866,kernelled,vegetable,,,,
1,19,14,82,special,reason,,,,
